KM,callnum,title,author,year,month,page,specattr,specattrloc,specneg,specnegloc,specop,specformpage,specdescpage,sprocessperiod,sprocess,photomech,hasphoto,paperman,paperbran,paperloc,negman,negbran,negloc,lensman,lensbran,lensloc,mountman,mountloc,coatman,coatloc,accman,accloc,subj,snote,sanalysis,specpath,fullspecpath,negman_k,mountman_k,lensman_k,accman_k,coatman_k,paperman_k,author_sort,specattr_sort,specneg_sort,specop_sort,localpath,cluster,decade,title_c,author_c,decade_c,specattr_c,specattrloc_c,specneg_c,specnegloc_c,specop_c,sprocess_c,photomech_c,hasphoto_c,paperman_c,paperbran_c,paperloc_c,negman_c,negbran_c,negloc_c,lensman_c,lensbran_c,lensloc_c,mountman_c,mountloc_c,coatman_c,coatloc_c,accman_c,accloc_c,subj_c,cluster_c,negman_k_c,mountman_k_c,lensman_k_c,accman_k_c,coatman_k_c,paperman_k_c,tabspecpath
65,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,130a,,,W. Jerome Harrison,,,,,,Halftone,True,True,,,,,,,,,,,,,,,,Architecture,,,specimens_resized/65_S.JPG,specimens_resized_panel/65_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,,"Harrison, W. Jerome",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/65_S.JPG,7,189,7,5,0,7,7,7,7,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,0,0,0,0,0,0,specimens/65_S.JPG
66,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,146a,Albertype Co.,"New York, NY, USA",Albert A. Eddy,,,,,Albertype,Collotype,True,True,,,,,,,,,,,,,,,,Landscape,,,specimens_resized/66_S.JPG,specimens_resized_panel/66_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Albertype Co.,"Eddy, Albert A.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/66_S.JPG,11,189,7,5,0,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,0,0,0,0,0,0,specimens/66_S.JPG
67,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1894,,403a,American Aristotype Co.,"Jamestown, NY, USA",A.N. Camp,,,,,,Collodion chloride POP,False,True,N.Y. Aristotype Paper Co.,Kalona Paper,"Bloomfield, NJ, USA",,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/67_S.JPG,specimens_resized_panel/67_S.JPG,False,False,False,False,False,True,Scovill Manufacturing Co.,American Aristotype Co.,"Camp, A.N.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/67_S.JPG,4,189,7,5,0,7,7,7,7,7,4,0,0,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0,0,0,1,specimens/67_S.JPG
68,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1900,,1a,Albertype Co.,"New York, NY, USA",,,,,,Albertype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/68_S.JPG,specimens_resized_panel/68_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Albertype Co.,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/68_S.JPG,11,190,7,5,4,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,specimens/68_S.JPG
69,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1900,,22a,Gravure-Photochrome Engraving Co.,"New York, NY, USA",Schloss,"New York, NY, USA",,,,Albertype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/69_S.JPG,specimens_resized_panel/69_S.JPG,False,False,False,False,False,False,Scovill Manufacturing Co.,Gravure-Photochrome Engraving Co.,Schloss,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/69_S.JPG,11,190,7,5,4,7,1,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,specimens/69_S.JPG
70,TR 1. A55,The American Annual of Photography and Photographic Times Almanac,Scovill Manufacturing Co.,1900,,backmatter,,,,,,,,Blotting paper sample,Blotting paper sample,False,False,,,,,,,,,,,,,,Albermarle Paper Manufacturing Company World Blotting Paper,"Richmond, VA, USA",Product Sample,,,specimens_resized/70_S.JPG,specimens_resized_panel/70_S.JPG,False,False,False,True,False,False,Scovill Manufacturing Co.,,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/70_S.JPG,5,190,7,5,4,7,7,7,7,7,7,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,0,0,0,1,0,0,specimens/70_S.JPG
95,TR 1. A56,American Journal of Photography,Charles A. Seely,1861,June,48,,,,,,,,Albumen silver print,Albumen silver print,False,True,,,,,,,,,,,,,,,,"Portrait, man",,,specimens_resized/95_S.JPG,specimens_resized_panel/95_S.JPG,False,False,False,False,False,False,"Seely, Charles A.",,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/95_S.JPG,5,186,7,7,3,7,7,7,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,0,0,0,0,0,0,specimens/95_S.JPG
96,TR 1. A56,American Journal of Photography,Charles A. Seely,1861,July,86,,,,,,,86,,Salted paper print,False,True,,,,,,,,,,,,,,,,Photographic experiment,,,specimens_resized/96_S.JPG,specimens_resized_panel/96_S.JPG,False,False,False,False,False,False,"Seely, Charles A.",,,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/96_S.JPG,5,186,7,7,3,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,specimens/96_S.JPG
97,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,April,133a,,,George G. Rockwood,"New York, NY, USA",,,134,Rockwood's photo-engraving process,Halftone,True,True,,,,,,,,,,,,,,,,"Portrait, man",,,specimens_resized/97_S.JPG,specimens_resized_panel/97_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,,"Rockwood, George G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/97_S.JPG,3,187,6,4,1,7,7,7,2,7,7,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,0,0,0,0,0,0,specimens/97_S.JPG
98,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,June,196b,,,George G. Rockwood,"New York, NY, USA",,,216,Rockwood's photolithography process,Photolithograph,True,True,,,,,,,,,,,,,,,,Artwork,,,specimens_resized/98_S.JPG,specimens_resized_panel/98_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,,"Rockwood, George G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/98_S.JPG,8,187,6,4,1,7,7,7,2,7,5,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,0,0,0,0,0,0,specimens/98_S.JPG
99,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1874,June,197a,,,George G. Rockwood,"New York, NY, USA",,,216,Rockwood's photolithography process,Photolithograph,True,True,,,,,,,,,,,,,,,,Artwork,,,specimens_resized/99_S.JPG,specimens_resized_panel/99_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,,"Rockwood, George G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/99_S.JPG,8,187,6,4,1,7,7,7,2,7,5,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,5,0,0,0,0,0,0,specimens/99_S.JPG
100,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1877,July,192a,,,J. Loeffler,"Staten Island, NY, USA",,,193-94,Chromotype,Carbon print,False,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/100_S.JPG,specimens_resized_panel/100_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,,"Loeffler, J.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/100_S.JPG,11,187,6,4,1,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,specimens/100_S.JPG
101,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1878,December,353a,Artotype Co.,"New York, NY, USA",Sarony,"New York, NY, USA",,,379,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/101_S.JPG,specimens_resized_panel/101_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Artotype Co.,Sarony,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/101_S.JPG,2,187,6,4,1,7,1,4,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,specimens/101_S.JPG
102,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,February,33a,Harroun & Bierstadt,"New York, NY, USA",Sarony,"New York, NY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, child",,,specimens_resized/102_S.JPG,specimens_resized_panel/102_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,Sarony,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/102_S.JPG,2,187,6,4,1,7,1,4,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,0,0,0,0,0,specimens/102_S.JPG
103,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,March,65a,Harroun & Bierstadt,"New York, NY, USA",Fredricks & O'Neil,"New York, NY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/103_S.JPG,specimens_resized_panel/103_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,Fredricks & O'Neil,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/103_S.JPG,6,187,6,4,1,7,1,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,0,0,0,0,0,specimens/103_S.JPG
104,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,April,97a,Harroun & Bierstadt,"New York, NY, USA",L.G. Bigelow,"Detroit, MI, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/104_S.JPG,specimens_resized_panel/104_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Bigelow, L.G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/104_S.JPG,2,187,6,4,1,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,specimens/104_S.JPG
105,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,May,129a,Harroun & Bierstadt,"New York, NY, USA",W. Kurtz,"New York, NY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, man",,,specimens_resized/105_S.JPG,specimens_resized_panel/105_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Kurtz, W.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/105_S.JPG,6,187,6,4,1,7,1,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,0,0,0,0,0,0,specimens/105_S.JPG
106,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,July,193a,Harroun & Bierstadt,"New York, NY, USA",Howell,"New York, NY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/106_S.JPG,specimens_resized_panel/106_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,Howell,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/106_S.JPG,4,187,6,4,1,7,1,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0,0,0,0,specimens/106_S.JPG
107,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,September,257a,Harroun & Bierstadt,"New York, NY, USA",E.T. Whitney,"Norwalk, CT, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, man",,,specimens_resized/107_S.JPG,specimens_resized_panel/107_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Whitney, E.T.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/107_S.JPG,3,187,6,4,1,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,0,0,0,0,0,0,specimens/107_S.JPG
108,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,October,289a,E. Klauber,"Louisville, KY, USA",E. Klauber,"Louisville, KY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, child","Smaller than gem size prints. Printed by a single person at the rate of 50, 000 per hour",,specimens_resized/108_S.JPG,specimens_resized_panel/108_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,"Klauber, E.","Klauber, E.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/108_S.JPG,0,187,6,4,1,7,7,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,0,0,0,0,0,0,specimens/108_S.JPG
109,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1879,November,321a,Harroun & Bierstadt,"New York, NY, USA",Henry Rocher,"Chicago, IL, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman","Shows a machine patented by Simon Wing (Waterville, Maine) to make reproductions of photographs at a proposed rate of 150,000 per hour",,specimens_resized/109_S.JPG,specimens_resized_panel/109_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Rocher, Henry",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/109_S.JPG,4,187,6,4,1,7,1,3,4,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0,0,0,0,specimens/109_S.JPG
110,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,March,65a,Harroun & Bierstadt,"New York, NY, USA",George N. Cobb,"Binghamton, NY, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, child",,,specimens_resized/110_S.JPG,specimens_resized_panel/110_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Cobb, George N.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/110_S.JPG,2,188,6,4,2,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,0,0,0,0,0,0,0,specimens/110_S.JPG
111,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,May,129a,Heliotype Printers Co.,"Boston, MA, USA",George G. Rockwood,"New York, NY, USA",,,,Autoglyph,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, child",,,specimens_resized/111_S.JPG,specimens_resized_panel/111_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Heliotype Printers Co.,"Rockwood, George G.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/111_S.JPG,0,188,6,4,2,7,7,7,2,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,0,0,0,0,0,0,specimens/111_S.JPG
112,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,June,161a,Harroun & Bierstadt,"New York, NY, USA",W.O. Hills,"Wolcottville, CT, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,Genre / Animal,,,specimens_resized/112_S.JPG,specimens_resized_panel/112_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,"Hills, W.O.",,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/112_S.JPG,2,188,6,4,2,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,specimens/112_S.JPG
113,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,July,195a,Harroun & Bierstadt,"New York, NY, USA",Taylor & Taylor,"Detroit, MI, USA",,,,Artotype,Collotype,True,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/113_S.JPG,specimens_resized_panel/113_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Harroun & Bierstadt,Taylor & Taylor,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/113_S.JPG,2,188,6,4,2,7,1,7,7,7,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,specimens/113_S.JPG
114,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,August,225a,Lithotype Printing Co.,"Gardner, MA, USA",Lithotype Printing Co.,"Gardner, MA, USA",,,,Lithotype,Photolithograph,True,True,,,,,,,,,,,,,,,,Landscape,,,specimens_resized/114_S.JPG,specimens_resized_panel/114_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Lithotype Printing Co.,Lithotype Printing Co.,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/114_S.JPG,9,188,6,4,2,7,7,7,7,7,5,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,0,0,0,0,0,0,specimens/114_S.JPG
115,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,September,257a,Sarony,"New York, NY, USA",Sarony,"New York, NY, USA",,,,Silver print,Albumen silver print,False,True,,,,,,,,,,,,,,,,"Portrait, woman",,,specimens_resized/115_S.JPG,specimens_resized_panel/115_S.JPG,False,False,False,False,False,False,E. & H.T. Anthony & Co.,Sarony,Sarony,,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/115_S.JPG,4,188,6,4,2,7,1,4,2,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0,0,0,0,specimens/115_S.JPG
